name,brand_name,original_price,discounted_price,rating_number,reviews_number,makeup_type,skin_type,texture
ريفلوشن موس بلاشر أحمر خدود,Revolution,45,36,4.8,66,أحمر خدود,جافة - حساسة - دهنية - طبيعية - مختلطة,بودرة - كريمي
قلم احمر شفاه روج فلفت ذا بنسل من برجوا,Bourjois,85,55.25,4.9,22,أحمر شفاه - ضد الماء,Not Available,كريمي
ذا بالم اضاءة وظل عيون بوني لو مانيزر,theBalm Cosmetics,67,24.79,4.9,26,إضاءة - ظلال العيون,Not Available,بودرة
أحمر شفاه روج سائل لاستينج ميجا مات من ريميل لندن,Rimmel London,60,45,5,7,أحمر شفاه,Not Available,سائل
كريم إضاءة ستروب من ماك - بيتش لايت,MAC,175,157.50,5,39,إضاءة,Not Available,كريمي
اضاءة من اوفرا - كونفينت قاردن,OFRA,173.65,0,5,4,إضاءة,Not Available,بودرة
مايبيلين فيت مي بودرة وجه مضغوطة مات بورليس,Maybelline,39,0,4.9,128,بودرة تثبيت,حساسة - دهنية - طبيعية - مختلطة,بودرة مضغوطة
شيجلام كنتور محدد وجه سائل صن سكلبت,Sheglam,26,0,4.9,35,كنتور,Not Available,سائل
كالا ميك اب مجموعة ملمع الشفاه المثالية - 4 قطع,CALLA Makeup,60,36,0,0,Not Available,Not Available,Not Available
ميساودا كريم أساس فاونديشن ذا سكين,MESAUDA,122,97.60,4.9,8,كريم أساس,جافة - حساسة - دهنية - طبيعية - مختلطة,Not Available
قلوس ملمع شفاه اديكت ليب ماكسيمايزر من ديور - 019 شيمر بيتش,Dior,190,171,5,8,ملمع الشفاه,Not Available,Not Available
توب فيس قلم محدد شفاه مقاوم للماء - 112,Topface,26,10.40,4.9,462,تحديد الشفاه - ضد الماء,Not Available,قلم - كريمي
شيجلام تنت الشفاه والخدود فور ذا فلش,Sheglam,21,0,5,35,أحمر خدود,Not Available,سائل
قلم أحمر شفاه وبلاشر أحمر خدود جرين مي من كيكو - 105 رستيك روزوود,KIKO Milano,85,0,4.9,19,أحمر خدود - أحمر شفاه,Not Available,قلم - كريمي
بيوتي كرييشنز فلاولس ستاي كونسيلر,Beauty Creations,45,33.75,0,0,خافي عيوب,Not Available,سائل
كريم اساس اير مات من برجوا - 30مل,Bourjois,107,69.55,4.9,1302,كريم أساس,جافة - حساسة - دهنية - طبيعية - مختلطة,كريمي
ماسكرا جيت بق لاشيز فوليوم جيرل من ايسنس,essence,14.95,12.71,4.9,289,ماسكارا,Not Available,Not Available
نيكس قلم عريض لتحديد العيون - 611 يوقرت,NYX,45,0,4.9,19,ظلال العيون - محدد العين,Not Available,قلم - كريمي
نارس بلاشر أحمر خدود سائل افترجلو,NARS,205,153.75,5,20,أحمر خدود,Not Available,سائل
